영상ID,영상제목,조회수,좋아요수,댓글수,채널ID,채널명,댓글수/조회수,좋아요수/조회수
a9DLuJuLzcs,유용한 보조지표의 이해와 활용 (上)_오현진의 주식의 정석 5강_대가들의 투자비법(20200630),39604,799,47,UC8Sv6O3Ux8ePVqorx8aOBMg,이데일리TV,0.11867488132511868,2.0174729825270172
mOfhD-W72X8,내가 화를 잘 안내는 이유 | 저의 개똥철학 (?) 들어보실래요?^^ (feat. 세상은 원이다),22437,810,140,UCGc2k3I9nB-889Irrk6FwVA,소사장소피아 SOSOTV,0.6239693363640416,3.6101083032490973
Ov5u1nyjLQs,안대장 사기꾼? 결정적인 1가지를 공개합니다,3471,27,21,UCNm0xf1nROfhCcHAex9q7SQ,돈벌레온,0.6050129645635264,0.7778738115816767
NbD5PhFz1Nk,"52세 서울대 출신 치과의사의 동안 외모 관리, 자기계발, 성공하는법 (이수진)",107622,1952,169,UCvil4OAt-zShzkKHsg9EQAw,김작가 TV,0.15703109029752282,1.8137555518388433
AIxPASl1GCk,"2010 감성, 프라이머리의 띵곡모음",2578312,28319,1369,UCxbFaRc8OE86disi7t1yc-A,해외선물 장대신공TV,0.05309675477599298,1.0983542720974033
x8PFRQLRrOs,2020 경자년에는 큰일이 일어난다고?! 올해 반드시 주의해야 할 이것! - MKSHOW 직관의 철학자 신기율 #2,135093,2723,130,UCnaGfDaiM-pM1l-SXYpq37Q,MKTV 김미경TV,0.0962300045154079,2.0156484791958134
WZcVDijJaMw,코로나 백신 접종 중... 모더나 적정 주가는 얼마?  f. 미국주식에미치다 장우석 본부장,17026,348,34,UChlv4GSd7OQl3js-jkLOnFA,삼프로TV_경제의신과함께,0.19969458475273114,2.043932808645601
FAPOovN_ikw,"투자의 체크포인트를 알려준 최근의 시장.. 금리는 변수가 아니다?_오늘아침 page2_신중호, 박병창, 염승환",739119,13295,224,UChlv4GSd7OQl3js-jkLOnFA,삼프로TV_경제의신과함께,0.030306351210021662,1.798763122041241
FxRJUbBwvJU,미르코의 생존연애 207 (라이브 Full ver) 2019.5. 7 - 경제강의,2556,66,3,UCiLqNUgqhPDHvOay5UBCT5g,미르코TV,0.11737089201877934,2.5821596244131455
i9Fj9lnXfCE,wedding vlog | 남자예복 엘모즈 맞춤양복 1차 가봉,298,16,7,UC6Oy2z7rDzEqlxdXJoWKm3w,땍앵,2.348993288590604,5.369127516778524
1SNcVlgqr4I,[LIVE] 가려 들어야 하는 말들 (사무엘하 10:1-19)_주일 4부 예배_아름다운동행_베이직교회_조정민 목사_20220410,37676,0,0,UCGrMG52egZF3j0CUv9c5FUA,베이직교회,0.0,0.0
6wN75N-Dpw8,[명상의말씀] - 아! 나는 누구인가?,1752575,7377,619,UCRhB-qQjcTHDwCw1yEWJYgA,송터럭과 삼수니,0.03531945851104803,0.42092349828110065
OzL2V4QBuH4,[LIVE] 비트코인 새로운 시작!! 조정 끝!! 상승시작!! (차트분석 /차트교육/비트코인),27753,2692,8,UCO_Qx4bogFcXNC0N6Wn7iaw,오뽀가디언- 비트코인TV,0.028825712535581742,9.699852268223255
ghiFiFB3Lg0,임영웅 - 이젠 나만 믿어요 💜 감동적인 가사로 여운가득 축가 💜 [제이위드_서울부산울산경남 뮤지컬웨딩],111,2,0,UCAXmhrX_ftbQDlAnf4P-Uxg,제이위드_부산뮤지컬웨딩,0.0,1.8018018018018018
jIRSrNuZ6C8,"[직장인Vlog] 3년차 여자기술영업사원, 드디어 퇴사했습니다! ㅣ퇴사일기ㅣ사직서제출",1467,12,15,UCrfma37Q3OKyelm1RzUCAVw,생각많은지렁이,1.0224948875255624,0.81799591002045
6RL_fL9hfR4,BOSS (안규호 지음),125,8,0,UC3MO257Uw5nwFa3dTalJ-2Q,책을 감상하라,0.0,6.4
oSTtj7No03M,온라인 콘서트의 전성시대.. 오프라인까지 풀리면 엔터주의 흐름은? f.이베스트투자증권 염승환 부장,122220,4570,102,UChlv4GSd7OQl3js-jkLOnFA,삼프로TV_경제의신과함께,0.08345606283750613,3.739158893798069
kECCsREc9t8,노력이 의미없어지는 순간이 오는 이유,30,3,2,UCT-ZHx9T5pRHY3zlHiuxzJQ,"개척영업 길라잡이, 김기철",6.666666666666667,10.0
UwY05NUUo0I,[#취업비사 150회] 사라져야 할 채용 갑질,42,1,0,UCQUSW6Llxrk8qaF1f1SCCUw,에취,0.0,2.380952380952381
_sTpL1foSmw,[코코먼트 전속] 시그니엘 레지던스 90평 E타입 첫입주 매물,2744,42,2,UCHy-ers8X1Tg3Kz7ZaQKkFw,코코먼트TV,0.0728862973760933,1.530612244897959
ZLAVxqzLgt0,신용불량자가 되고 달라지는 것 5가지,5083,36,18,UCPw96hCE04lNcfxCJD0XA3Q,부채면허 - 포기하지마,0.35412158174306513,0.7082431634861303
vXBQcNsr5-Q,🧐남친/여친한테 얼마나 솔직해야 할까?🤔,225,9,2,UC4eA2YD9zZJxC6IQBh6Tldg,니탓 내탓 몇대몇,0.8888888888888888,4.0
LfpN8jakcJ0,"[02.26]  전일 스캘핑 수익률41% / 대표종목 (박셀바이오) 시청자와 소통하는 무료주식방송!! 상승종목 집중 공략!! (실전매매, 종목추천, 종목발굴, 종목상담)",32003,1096,3,UC9OdxrtKsOxQCXpjNmaRMsw,한국증권TV,0.009374121176139737,3.424678936349717
WnUck0BQIo0,100억대 자산가 도지코인 몰빵투자?? 비트코인 가상자산 빗썸 업비트 알트코인 실시간 매매 스텔라루맨 웨이브 리스크 카바 이더리움 클래식 리플 시바이누 코인 바이낸스,108009,6151,26,UCXuutwW2v1BertBxN3vhISQ,코인탐정 사무소- 사토시 코난,0.02407206806840171,5.694895795720727
CJNC0YqFLaY,[브이로그] 연 이자카야ㅣ볼빨간딱새우ㅣ조개전골ㅣ진미평양냉면ㅣ압구정포차ㅣ피쉬스토리ㅣ쇠뚜레ㅣ한우ㅣ해창막걸리ㅣ* 단편영화 촬영현장ㅣ초장집ㅣ가리비찜,68,9,6,UCDuWYz4QxqUpLCicumIH3eg,데일리란,8.823529411764707,13.23529411764706
KB1DdeEgtUM,"🚨디지털 성범죄 예방｜이런 범죄도 일어난다고 디지털 성범죄의 정의와 유형, 그리고 피해자의 고통｜경기도 지식GSEEK",82,0,0,UCV0yugSIYgA_wkGPBzv5hWg,군산제일고등학교,0.0,0.0
JpuE8_UFtA0,신랑 신부 행진 ~~~~ 💜 사랑스러운 행진 축가 '버터플라이' [제이위드_서울부산울산경남 뮤지컬웨딩],197,4,0,UCAXmhrX_ftbQDlAnf4P-Uxg,제이위드_부산뮤지컬웨딩,0.0,2.030456852791878
OWHCPfR2XIo,"강력한 에너지🌕나는 오늘 아주 좋은일이 생긴다🌕기분 좋은일이 하루종일 생긴다, 막힌운이 뚫리고 행운과 만복이 찾아온다, 무의식 부정적 에너지 제거, 소원일 이루어지는 명상음악",235,17,0,UCrLjGitzcUXJxFwyQNrg1gA,행운명상음악 - Holistic Healing Music,0.0,7.234042553191489
9t28iNZ8A2E,일요일엔 무엇이든 물어보세요 [전세권설정] [권리분석] [경매미납],210,42,0,UCZwZ3aqd3DYKqXulnqCYCVg,베프옥션 경매멘토 이성재,0.0,20.0
yx4CZ7PO8xM,안정모의 주식투자님의 실시간 스트림,23585,1583,6,UCVAbB2v_MCpAWNVTGxVLRxw,안정모의 주식투자,0.02543989824040704,6.711893152427391
3-eeiC19e70,비트코인 성공한 투자자 KBS출연 실시간 알트코인 매매 가상자산 주식 투자 업비트 빗썸 리플 페이코인 벨리디티 프로피 아이오텍스,118924,6081,30,UCXuutwW2v1BertBxN3vhISQ,코인탐정 사무소- 사토시 코난,0.025226194880764188,5.1133497023309005
8eqWWuRCx4Y,안정모의 주식투자님의 실시간 스트림,30980,1144,25,UCVAbB2v_MCpAWNVTGxVLRxw,안정모의 주식투자,0.08069722401549387,3.692704970948999
xjBbCykkTg8,[#다쓰배이더] 삼성전자 자소서 첨삭,98,0,0,UCQUSW6Llxrk8qaF1f1SCCUw,에취,0.0,0.0
JpYNYFzh-hI,52만5600분의 소중한 시간들 ~~ 💖  행진 축가 추천💖[제이위드_서울부산울산경남 뮤지컬웨딩],52,1,0,UCAXmhrX_ftbQDlAnf4P-Uxg,제이위드_부산뮤지컬웨딩,0.0,1.9230769230769231
3ahNkxCdddM,돈버는 창업은 바로 이런겁니다 #shorts,9049,113,10,UCKgPZNR23IuIdSqQoBOFh4Q,안대장TV,0.11050944855785169,1.2487567687037242
EqTgM75l41A,한혜진 술터뷰,1886257,49982,4966,UC1Rz7a_DWtsE9cQwSyElE0Q,인생84,0.26327271416355247,2.649797986170495
Jd-QF10Onjs,전설적인 축구 선수가 강등권 팀으로 가면 생기는 일,2153174,10908,2591,UCF_wNKR93_WmP1zw0lj-Pog,졸린남자,0.12033398136890006,0.5066009528259211
pwQyPZChL1I,"[속보] 세계 최대규모의 '하얀 금광', 강원도 홍천에서 발견돼",790485,20301,648,UCgUaqrLRGLL-dHislR1e2TA,뉴스팩트럼,0.08197499003776162,2.5681701740070966
neXji9Zepx8,한국영화 웃긴장면 레전드 3부 (feat.약빤자막),963386,5871,161,UCClSUQVCidlSXUG679AfLbg,달콤살벌한 영화이야기,0.016711889107792723,0.6094130493903793
z34I1ZBHExc,"❰미스테리 실화 풀버전❱ 실제로 생포되었던 외계인이 실토한 우주와 인류에 대한 비밀들 + 구독자 이벤트 [외계인, UFO, 미스테리]",3178133,49704,6112,UCnacNqCBK7rHXvPHjAgan0Q,오연 - 미스터리 이야기,0.19231416683946204,1.563937066195782
M869ivjqByg,국내 최초(?) 갤럭시 S22 언박싱 (with.유플러스샵),348367,7589,564,UC1Rz7a_DWtsE9cQwSyElE0Q,인생84,0.16189822801815326,2.1784497383506474
6pEvi-q3-GE,New기안카 공개,1471552,18117,1785,UC1Rz7a_DWtsE9cQwSyElE0Q,인생84,0.12130050450136999,1.2311491540903754
K2RDE1Czf8E,굳이 부산까지 가서 인도 요리 먹는 기안84 부산핫플 VLOG,206313,4766,344,UC1Rz7a_DWtsE9cQwSyElE0Q,인생84,0.16673694822914698,2.310082253663124
z63moJ2ptfg,[나 혼자 산다]🥂뒤풀이에서 을왕리 2대2 더블 미팅으로 형님 장가보낼 계획 세우는 착한 동생들😉| #기안 #코드쿤스트 #전현무 MBC220422방송,1551255,13715,856,UCiwQRG2sCcfjKkgxMEdJGPg,엠뚜루마뚜루 : MBC 공식 종합 채널,0.055181127538670306,0.8841228553654944
gjKeBkLRq9k,"""대한한국""에 ""조폭""들이 생겨날 수 밖에 없었던 진짜 이유",2753717,17364,1689,UCMi3KERYYL5qwe9DoFrxhjw,지식똥개,0.06133527882494825,0.6305658860369456
49N2BgqACEE,중고차 연대기,724290,18027,1252,UC1Rz7a_DWtsE9cQwSyElE0Q,인생84,0.17285893771831726,2.4889201839042374
wH2dgAm8JZE,윤종신 형님께 결혼 상담 받기,362123,8352,553,UC1Rz7a_DWtsE9cQwSyElE0Q,인생84,0.1527105431027579,2.306398654600785
K_hG5FSoJ8s,딸아.. 김서방이 굶기니? (ft. 산속 먹방),297144,10518,477,UCZ44GU2zsYCdWqzJ-a3Lo-g,미자네 주막,0.16052822873758177,3.539697924238753
oPo4t_MARFc,기안84 개인전 유튜브 도슨트,131847,6262,523,UC1Rz7a_DWtsE9cQwSyElE0Q,인생84,0.39667190000530916,4.749444431803529
8SnRNnYrItg,쯔양님과 함께하는 울릉84,776460,18589,1298,UC1Rz7a_DWtsE9cQwSyElE0Q,인생84,0.16716894624320633,2.3940705252041314
J5YtziWVYxM,주식회사 기안84 회식,375413,7389,755,UC1Rz7a_DWtsE9cQwSyElE0Q,인생84,0.2011118421578368,1.9682323201380878
96rTlKutTGI,전세계 치안을 비교하던 영국 방송사가 한국에서 10초만에 어이가 없어진 이유 (해외반응),685160,12001,568,UCE6e6COmliuLqjcSi35HCTw,트윗튜브,0.08290034444509312,1.7515616790238775
to3sQByAvwg,"""한국이 이정도일 줄 몰랐다"" 한국에서 찍힌 브라질 국대 사진에 브라질 뉴스 앵커 말문 막힌 이유 / ""전세계에서 한국만 가능한 일""",1247110,20870,538,UCUcNHKWmYMpDe3MyipFgm1A,깡통튜브,0.04313973907674543,1.6734690604678015
Kvs02l-4YLE,30대를 살아보고 느낀점 5가지,359773,13327,1118,UC1Rz7a_DWtsE9cQwSyElE0Q,인생84,0.3107515016413127,3.7042801989031973
S6sFeFYgkkk,나 혼자 안사는 이시언 만남,1028257,24396,1094,UC1Rz7a_DWtsE9cQwSyElE0Q,인생84,0.10639363505427146,2.3725586113199326
VlfjjtK-PIs,봉지은씨와 함께한 청소84,764772,16491,1764,UC1Rz7a_DWtsE9cQwSyElE0Q,인생84,0.23065698011956504,2.1563289450973624
6PXWixvQnFs,기안84 사내연애 1편,1037330,14216,1766,UC1Rz7a_DWtsE9cQwSyElE0Q,인생84,0.1702447629973104,1.3704414217269336
CftcecbU9vE,여자친구가 크리스 프랫의 취미를 듣자 당장 결혼하자고 한 이유,1542760,21974,902,UC1zonz8uUKp26oSfHhBQoKQ,달빛부부,0.05846664419611605,1.4243304208042729
e9ew3A4UiaQ,과천 막걸리 파전 먹방,228610,4923,399,UC1Rz7a_DWtsE9cQwSyElE0Q,인생84,0.17453304754822624,2.153449105463453
DR5vIPnqlYw,미국 슬리핑 기차에서 보낸 놀라운 34시간 ⎥🇺🇸미국1,582460,16170,1374,UC9gxOp_-R78phMHmv2bW_sg,원지의하루,0.23589602719500052,2.776156302578718
JiYf8zYx4kY,제부도 차차차,820751,12043,1586,UC1Rz7a_DWtsE9cQwSyElE0Q,인생84,0.19323765673145693,1.4673146910573365
MbGkc2Rm6oI,보라카이 화이트비치에서 생긴일..남자셋이 둘러싸고 겁주는 상황! 한국인 호구의 필리핀 생활 | 보라카이 여행기 3 |  한필가족 한필커플,49083,4688,201,UCPDdt9Iv4cXPEQmyVU_96sw,PINAY TV한필커플 피나이티비,0.40951042112340325,9.551168428987634
XNWiVAlaaSY,브라질 국대팀이 왜 저러고 다녀? 생방송으로 남미 전체 경악시킨 영상,498002,8295,360,UCWBhajLdX4Go7KHzDWyBHXw,꿀튜브,0.07228886630977385,1.665655961221039
NFEP1I64iww,근황 들고 왔습니다 (침착맨X주호민X기안84  feat. 유퀴즈),1114263,16184,1305,UCxQXvvaqwA2NzPXs5775ogw,M드로메다 스튜디오,0.11711777201612186,1.45243986383825
DN2z5ZPwnZw,기안84 브랜드 만들기,299967,8748,1039,UC1Rz7a_DWtsE9cQwSyElE0Q,인생84,0.3463714341910944,2.916320795287482
UrmQpSVrnUs,한국인 드문 태국 남부 무슬림 동네 돌아보기 - 태국 〔09〕,192260,6051,434,UCaoqDZPllYXLAH_5OBRLLrw,채코제 Channel Korean Jay,0.22573598252366586,3.1473005305315715
lF866XB7uaQ,찐따남의 가슴 따뜻한 서울 여행기,647705,13921,2938,UClRNDVO8093rmRTtLe4GEPw,곽튜브KWAKTUBE,0.4536015624396909,2.149280922642252
MG_kubnQHm0,[도전!골든벨] 니가 왜 거기서 나와?! 영탁이 골든벨에?! 안동고등학교  |  KBS 011026 방송,43817,5239,524,UCXx2Pi_w-4_-U95ksqOY7Cw,KBS LIFE,1.1958828765091174,11.956546545861196
MXkdQXe8EuM,(ENG)무도이후 처음 모였습니다 | 할명수 ep.71,5245527,96872,5807,UCmbGE7Y2ov7pTBuUrkXgtTQ,할명수,0.11070384348417232,1.8467543871187775
QcifeZYKEoY,기안84 명품大공개,380973,6434,585,UC1Rz7a_DWtsE9cQwSyElE0Q,인생84,0.1535541888795269,1.6888335918818393
KIGsiT1cy9g,'약소하게 6메뉴!'😎 먹보스의 동네 맛집!! 집 근처에서 즐기는 남도의 진한 맛!! 😮,216146,4981,225,UCLwCHoQ9h7DPXvLwx5XwTQg,먹보스 쭈엽이,0.10409630527513809,2.304460873668724
G4G36ifFjNY,[나 혼자 산다]🍖이건 엄마 겁니다.🐕베이비들보다 엄마 음식이 초큼 더 많은 세리네 하우스 캠핑🏕| #박세리 MBC220520방송,402720,3141,202,UCiwQRG2sCcfjKkgxMEdJGPg,엠뚜루마뚜루 : MBC 공식 종합 채널,0.05015891934843067,0.7799463647199046
EpPEw3Zvtpk,한국에서 교복데이트를 너무나 해보고 싶었다는 캐나다 룸메이트(EP3),91019,3535,562,UCag-vLxfCjAUNebW9gA0yRg,Joe튜브,0.6174534987200475,3.883804480383217
fQkB2S3NdZM,[#노가리맛집] 탑 모델 이현이가 동갑내기 레전드 모델 한혜진 탐탁치 않아 했던 이유,275603,1330,165,UCRMA_Nb5VF-YoWApSVeXPVA,디글 클래식 :Diggle Classic,0.059868724215629,0.482578201253252
YUkfdQrzB40,기안84 낚시터에서 생긴 일..,174911,5175,394,UC1Rz7a_DWtsE9cQwSyElE0Q,인생84,0.22525741662902848,2.958647540749295
p-v00nZBdKc,기안84 건물 올립니다.,435452,10282,802,UC1Rz7a_DWtsE9cQwSyElE0Q,인생84,0.18417644194997382,2.361224658515749
CdEz7Ap14ws,기안84 근황,177538,5376,393,UC1Rz7a_DWtsE9cQwSyElE0Q,인생84,0.22136106073066047,3.0280841284682714
WWJJ1wbHbf0,[#떡상ing] 이 영상은 손예진씨를 옆에 두고 굳이 🧔🏻침착맨🧔🏻만 따로 모아본 영상입니다. 침투부 시청자들의 많은 사랑을 바랍니다👨🏻‍🚀 | #유퀴즈온더블럭 #샾잉,756645,8734,565,UCwNVDlUgdBlmVWRPy4Nk0Dw,샾잉 #ing,0.0746717417018549,1.1543061805734527
Fq8z1bVagek,축구화도 없이 맨발로 뛰던 브라질 선수 21년후 한국와서 한식먹고 오열한 이유,588169,10606,263,UCmEx0Z66HZdOrYqQhM46w3A,단골이슈,0.04471503938493868,1.803223223257261
-0UmZQbl3zI,[나 혼자 산다]👨‍❤️‍👨키와 민호의 과도한 우정이 해장술로 이어진 건에 대하여.mp4🍶💦| #키 #민호 MBC220218방송,2631330,32356,1066,UCiwQRG2sCcfjKkgxMEdJGPg,엠뚜루마뚜루 : MBC 공식 종합 채널,0.040511832419346874,1.229644324353084
bf1zBeQt-5M,[놀면 뭐하니?] 야망&훈훈 캐릭터 확실한 WSG워너비 12인 첫 대면식 MBC 220604 방송 (Hangout with Yoo),248748,3476,512,UCx6jsZ02B4K3SECUrkgPyzg,놀면 뭐하니?,0.20583080064965348,1.397398170035538
4Umk-lNwN0Y,아침부터 밤까지 그늘진 캠핑장~  #MSR 엘릭서2 #불멍#오토캠핑#난로#그리들#강원도#홍천#서석 캠핑장#토마호크,284,14,15,UCz0hD9IBcNyCT7YLBCyfw3Q,주말알바,5.28169014084507,4.929577464788732
qrUjXtCm8DI,결국엔 로봇에 인간의 영혼을 주입할 수 있게 된 세상,57467,927,149,UCSaWpMhJ-wm1ekEbEvZ6AhQ,기무리뷰,0.25927923851949813,1.613099691997146
aB8Xgn6JKXw,침펄인물사전 | 2장 백예린 편,526845,17866,2340,UCUj6rrhMTR9pipbAWBAMvUQ,침착맨,0.4441534037525268,3.3911302185652326
qH6oFAokcg4,[나 혼자 산다]🧞‍♂️효도르마무 운동을 하러왔다👨‍🦲효도르도 웃고갈 주도인 클럽 오픈🥊🥋| #이주승 #주도인클럽 MBC220506방송,375619,3040,290,UCiwQRG2sCcfjKkgxMEdJGPg,엠뚜루마뚜루 : MBC 공식 종합 채널,0.0772058921407064,0.8093307314060258
JOlpSN3H4J4,"[나 혼자 산다]🍖학센에 집 간장에,,🏺욕항의 망아리에 홀려버린 장우🧞‍♂️| #장우 MBC220422방송",293088,1871,133,UCiwQRG2sCcfjKkgxMEdJGPg,엠뚜루마뚜루 : MBC 공식 종합 채널,0.04537886232121411,0.6383748225788841
Xk1IIRmiUzA,임창정네 6부자👨‍👨‍👦 엄마 없이 첫 동반 외출하는 날!💥 [동상이몽|220530 SBS방송],1129943,8835,471,UCy-swBYpRZx7KW11FStjTgw,레알예능 스브스,0.04168351854916575,0.7818978479445423
kFecpqDEeGo,이거 누가 생각했냐ㅋㅋㅋㅋ 쓸데없이 갖고싶어지는 만화 아이디어 상품 TOP10,191074,4505,227,UCvi7EYzMlfSB0ZkX55i5LlA,타임스낵,0.11880213948522562,2.357725279211196
ApU6kSXtMZk,"저 노란액체 진짜 조심해야합니다...""치명적인 독""을 가진 남가뢰",46905,794,76,UCOv1v2iptqYMVEwLAIUOhPw,정브르,0.16202963436733822,1.6927832853640337
lv0-tYAr4EU,서울 지하철 처음 타본 일본 여배우가 생방송 중 깜짝 놀란 이유,1440665,21586,1212,UCm4S4I269kyoICS8WOyKtMw,인사이트 코리아,0.08412781597387317,1.4983358379637182
0AbriTBYbE0,[신속복습📝] 사상 최초 엄마 없이 임창정 6부자 놀이공원 데이 준비! #동상이몽2 #YouareMyDestiny #SBSenter,1134569,7846,519,UCmjNKt6kITwaZTqvWuaSPLg,SBS Entertainment,0.04574424296803456,0.6915401355052007
1qHZorgn1-8,빅뱅 GD가 아닌 인간 권지용의 이야기,843207,17637,1557,UCJn-fLgkK9-KcPCaARXh2XQ,한국인의모든것,0.18465216726141978,2.091657208728106
Q3B-gVt5mYs,[놀면 뭐하니?] 흥 만취 200%! 숨겨진 비글美 대방출하는 그녀들 MBC 220604 방송 (Hangout with Yoo),263070,4188,561,UCx6jsZ02B4K3SECUrkgPyzg,놀면 뭐하니?,0.21325122590945375,1.5919717185539968
SXtTyBNvtPs,"[살뜰한 상식] 입덧에 늘어나버린 음식량과 출산 후 찾아온 식욕?!＂그러다 돼지, 소 된다＂｜다큐 플러스｜JTBC 200809 방송",237657,1581,565,UCe-gh0jfKlR_EvsNyzYphww,JTBC Life,0.23773757978936028,0.6652444489327055
Fq3hLGg_atw,"[피크타임] 천수에게 알리지 않고 병원에 다녀온 아내 하은, 건강에 적신호? | 살림하는 남자들 | KBS 220312 방송",784801,4110,578,UCK1sVuXaDvJeNwl9noN5nOA,KBS Entertain,0.0736492435662034,0.5236996385070865
SZUGs5Fqyng,[vlog] 오늘뭐먹지? | 수원호매실맛집 | 현지인이 추천하는 찐맛집 | 맛집소개 | 맛집리뷰 | 수원맛집추천 | 먹고행복할래,14126,145,21,UC6C4AbS-Cvu374M2g0j7suw,미니몬MINIMON,0.14866204162537167,1.0264760016989947
kUOIJ2OFxsY,[아이유의 팔레트] 세븐틴이에유는 일촌이에유 (With 세븐틴) Ep.12,2186197,190063,9751,UC3SyT4_WLHzN7JmHQwKQZww,이지금 [IU Official],0.4460256783812255,8.693772793577157
9vLFWjceMEI,돈 없어서 하지 말아야 할 짓까지 해버린 여자 연예인 TOP3,3923884,0,1115,UCXDXMX_22SU4r6YLd5kUg5A,B급기밀,0.028415722788950944,0.0
_Uhtmx_Mvbk,고속도로 요금소 들이받아 운전자 등 사망 (2022.06.05/뉴스투데이/MBC),193672,1527,410,UCF4Wxdo3inmxP-Y59wXDsFw,MBCNEWS,0.2116981287950762,0.7884464455367838
Ej7TJjAkixU,무협의 과학 설명회 | 주변에서 찾아보는 무협의 과학,580662,7244,642,UCUj6rrhMTR9pipbAWBAMvUQ,침착맨,0.11056346032631721,1.2475415990714047
gOJ0JuiQYrs,[#부모는처음이라] “학교에서 괴롭힘 당해😭” 자작극 벌인 금쪽이… 거짓말 원인은 엄마의 취조형 화법?! | 금쪽같은 내새끼 101회,128872,950,0,UCaZS_XwAu1yBMNoQDD1mR7g,채널A 캔버스,0.0,0.7371655596250544
STto_yop_Q8,이 채널도 곧...,148909,2641,266,UCa8U-QfSIJBXydyMDbwQQ7g,만신 박태준,0.17863258768778248,1.7735664063286976
QKPfjWg-IgM,포천노지차박 개폭망했네요. 열받아서 한판 붙었습니다. / 카니발차박 / 백의교 다리밑 차박을 아시나요? / 삼겹살먹방 | 백숙먹방 / 익동이랑TV,325,13,16,UC9I8AgNoeFW13DocZbvlBrQ,익동이랑 TV,4.923076923076923,4.0
Y_0VKXaF6zY,에버랜드 놀러와서 신난 친구 강제로 아마존 알바 시키기 (feat.윤쭈꾸)ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1072285,18375,1051,UC9ZLv1m7QDLv991X1-p50AA,보물섬,0.09801498668730795,1.7136302382295754
zEpkESedBjA,"[피크타임] 코에 이상이 생긴 하은, 예상치 못한 검사 결과에 충격... | 살림하는 남자들 | KBS 220528 방송",811593,3095,528,UCK1sVuXaDvJeNwl9noN5nOA,KBS Entertain,0.06505723928126536,0.3813487794990839
fsXKj0Ii4zc,[#갓구운클립] 신점 안 믿는다는 제시를 눈물 흘리게 한 PD 출신 무당?! 올해만 넘기면 괜찮아질 거라는 위로 한 마디에 울컥💦 | #식스센스3,54767,585,73,UCsRIHt5FkbGc6cQtCxt-ufA,tvN D ENT,0.13329194587981813,1.068161484105392
u-708-L47gA,천을귀인 특성 - 피클의 행복한 명리,218,47,4,UCiHSecS0lgiyhdauJnumXzg,피클명리,1.834862385321101,21.55963302752294
5KO7KVWkbNY,[1~2회 요약] 성공를 위해 성폭행 피해자를 죽음으로 몰고 간 오수재 #왜오수재인가 #WhyHer｜SBSNOW,34954,516,53,UCcOYEm78CpaZQvPE6LtoSeA,SBS NOW / SBS 공식 채널,0.1516278537506437,1.4762258968930595
LIGX-90FRVU,전기쟁이들의 30대 계획(양평 오토캠핑장),50,5,1,UCJDOkDdHcyYED9VmJfFFatw,양팽이들,2.0,10.0
Cp2_wKAeRKs,침투부 속 과학 | 켄타우로스 바지 입는 법,487752,5939,528,UCUj6rrhMTR9pipbAWBAMvUQ,침착맨,0.1082517344880185,1.217626990765799
fK3-Hv4i6QQ,개인주의자 애인 특,385613,7205,1063,UC2fRmj7qqiuD5VXtBO4hh2A,픽고 PICKGO,0.2756649801744236,1.868453605039249
GHnJAQC0XQ0,"#Vlog 23화 / 언니 차 뽑았다 드루와~~ , 미친텐션주의🚫, 제네시스GV70",56388,248,66,UC4plhHG5yPXg-m6Y-_s7hTA,R.LIM림림커플,0.11704618003830602,0.4398098886287863
58GvvIqEYx0,강남 길바닥에서 전단지 뿌리던 여사장님 5개월 후 모습 (유튜브판 골목식당),539296,8429,906,UCBMBPRnwRgl3aJZDEpTu65Q,장사의 신,0.1679967958227022,1.5629635673173916
ef6m8ZNg_AQ,"[18화 예고] 김혜자의 시한부 사실 알게 된 이병헌, ""너네 어멍, 암이다. 그것도 말기"" #우리들의블루스 EP.18",100090,755,70,UC9w-h_ciMmX64TcLRcb1xPg,tvN drama,0.06993705664901588,0.7543211110000999
RT9vBlzRSGE,언니 오늘 집에 못 들어간다🔥🔥,206706,4674,212,UCo4m81FJ-dT8MqijBlhbN2A,심장에박현서,0.10256112546321829,2.2611825491277466
dZVBhm4yrYU,사이다)간땡이 부어 친구 엄카 몰래 훔친 주작충 유튜버의 최후 | [루대숲] - 61번째 사연,414608,7223,248,UCqHP70746lwBPFp30_wl5gQ,루디고GO,0.059815536603249335,1.7421275035696369
LdkYkWWVJjc,"vlog | 먹기만하는 일상 브이로그 (마약토스트 만들기,양꼬치엔 카스,무뼈닭발,짜장면,미니탕수육,시화나래휴게소,지방선거투표,새우타워,오이도 조개구이,트리플에이 와플,직화초밥)",15,2,1,UCuuq6YizO6vqgtAvElaLztA,예참,6.666666666666667,13.333333333333334
C9sHks5ux0Q,"2021년 08월 23일 | 침펄풍 스테이크 도시락 먹방, 연애상담소, 야추다이스",344204,2879,615,UCewitUbsXnyjvJjGgxa0IYw,침착맨 원본 박물관,0.17867311245656645,0.8364225866056176
9AIS_GI33h8,살림남 김승현 가족 최근 안타까운 상황｜김언중 백옥자 결국 이혼 수순?,739636,11770,455,UCyhfg2BQVXkz12qTlxTXX2A,청정구역,0.0615167460750964,1.5913232995689772
j7nBNgAuQqA,[캠핑시니] 패밀리가 떴다 1편_파워 E와 I 세명,136,7,4,UCSgJxtp3cLUk41c2IC67-7w,시니신나,2.941176470588235,5.147058823529411
